# SentenceBreakProperty-5.0.0.txt
# Date: 2006-03-09, 23:14:25 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2006 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see UCD.html

# ================================================

# Property:	Sentence_Break

#  All code points not explicitly listed for Sentence_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

24B6..24CF    ; Upper # So  [26] CIRCLED LATIN CAPITAL LETTER A..CIRCLED LATIN CAPITAL LETTER Z
2C00..2C2E    ; Upper # L&  [47] GLAGOLITIC CAPITAL LETTER AZU..GLAGOLITIC CAPITAL LETTER LATINATE MYSLITE
2C60          ; Upper # L&       LATIN CAPITAL LETTER L WITH DOUBLE BAR
2C62..2C64    ; Upper # L&   [3] LATIN CAPITAL LETTER L WITH MIDDLE TILDE..LATIN CAPITAL LETTER R WITH TAIL
2C67          ; Upper # L&       LATIN CAPITAL LETTER H WITH DESCENDER
2C69          ; Upper # L&       LATIN CAPITAL LETTER K WITH DESCENDER
2C6B          ; Upper # L&       LATIN CAPITAL LETTER Z WITH DESCENDER
2C75          ; Upper # L&       LATIN CAPITAL LETTER HALF H
2C80          ; Upper # L&       COPTIC CAPITAL LETTER ALFA
2C82          ; Upper # L&       COPTIC CAPITAL LETTER VIDA
2C84          ; Upper # L&       COPTIC CAPITAL LETTER GAMMA
2C86          ; Upper # L&       COPTIC CAPITAL LETTER DALDA
2C88          ; Upper # L&       COPTIC CAPITAL LETTER EIE
2C8A          ; Upper # L&       COPTIC CAPITAL LETTER SOU
2C8C          ; Upper # L&       COPTIC CAPITAL LETTER ZATA
2C8E          ; Upper # L&       COPTIC CAPITAL LETTER HATE
2C90          ; Upper # L&       COPTIC CAPITAL LETTER THETHE
2C92          ; Upper # L&       COPTIC CAPITAL LETTER IAUDA
2C94          ; Upper # L&       COPTIC CAPITAL LETTER KAPA
2C96          ; Upper # L&       COPTIC CAPITAL LETTER LAULA
2C98          ; Upper # L&       COPTIC CAPITAL LETTER MI
2C9A          ; Upper # L&       COPTIC CAPITAL LETTER NI
2C9C          ; Upper # L&       COPTIC CAPITAL LETTER KSI
2C9E          ; Upper # L&       COPTIC CAPITAL LETTER O
2CA0          ; Upper # L&       COPTIC CAPITAL LETTER PI
2CA2          ; Upper # L&       COPTIC CAPITAL LETTER RO
2CA4          ; Upper # L&       COPTIC CAPITAL LETTER SIMA
2CA6          ; Upper # L&       COPTIC CAPITAL LETTER TAU
2CA8          ; Upper # L&       COPTIC CAPITAL LETTER UA
2CAA          ; Upper # L&       COPTIC CAPITAL LETTER FI
2CAC          ; Upper # L&       COPTIC CAPITAL LETTER KHI
2CAE          ; Upper # L&       COPTIC CAPITAL LETTER PSI
2CB0          ; Upper # L&       COPTIC CAPITAL LETTER OOU
2CB2          ; Upper # L&       COPTIC CAPITAL LETTER DIALECT-P ALEF
2CB4          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC AIN
2CB6          ; Upper # L&       COPTIC CAPITAL LETTER CRYPTOGRAMMIC EIE
2CB8          ; Upper # L&       COPTIC CAPITAL LETTER DIALECT-P KAPA
2CBA          ; Upper # L&       COPTIC CAPITAL LETTER DIALECT-P NI
2CBC          ; Upper # L&       COPTIC CAPITAL LETTER CRYPTOGRAMMIC NI
2CBE          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC OOU
2CC0          ; Upper # L&       COPTIC CAPITAL LETTER SAMPI
2CC2          ; Upper # L&       COPTIC CAPITAL LETTER CROSSED SHEI
2CC4          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC SHEI
2CC6          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC ESH
2CC8          ; Upper # L&       COPTIC CAPITAL LETTER AKHMIMIC KHEI
2CCA          ; Upper # L&       COPTIC CAPITAL LETTER DIALECT-P HORI
2CCC          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC HORI
2CCE          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC HA
2CD0          ; Upper # L&       COPTIC CAPITAL LETTER L-SHAPED HA
2CD2          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC HEI
2CD4          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC HAT
2CD6          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC GANGIA
2CD8          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC DJA
2CDA          ; Upper # L&       COPTIC CAPITAL LETTER OLD COPTIC SHIMA
2CDC          ; Upper # L&       COPTIC CAPITAL LETTER OLD NUBIAN SHIMA
2CDE          ; Upper # L&       COPTIC CAPITAL LETTER OLD NUBIAN NGI
2CE0          ; Upper # L&       COPTIC CAPITAL LETTER OLD NUBIAN NYI
2CE2          ; Upper # L&       COPTIC CAPITAL LETTER OLD NUBIAN WAU
FF21..FF3A    ; Upper # L&  [26] FULLWIDTH LATIN CAPITAL LETTER A..FULLWIDTH LATIN CAPITAL LETTER Z
10400..10427  ; Upper # L&  [40] DESERET CAPITAL LETTER LONG I..DESERET CAPITAL LETTER EW
1D400..1D419  ; Upper # L&  [26] MATHEMATICAL BOLD CAPITAL A..MATHEMATICAL BOLD CAPITAL Z
1D434..1D44D  ; Upper # L&  [26] MATHEMATICAL ITALIC CAPITAL A..MATHEMATICAL ITALIC CAPITAL Z
1D468..1D481  ; Upper # L&  [26] MATHEMATICAL BOLD ITALIC CAPITAL A..MATHEMATICAL BOLD ITALIC CAPITAL Z
1D49C         ; Upper # L&       MATHEMATICAL SCRIPT CAPITAL A
1D49E..1D49F  ; Upper # L&   [2] MATHEMATICAL SCRIPT CAPITAL C..MATHEMATICAL SCRIPT CAPITAL D
1D4A2         ; Upper # L&       MATHEMATICAL SCRIPT CAPITAL G
1D4A5..1D4A6  ; Upper # L&   [2] MATHEMATICAL SCRIPT CAPITAL J..MATHEMATICAL SCRIPT CAPITAL K
1D4A9..1D4AC  ; Upper # L&   [4] MATHEMATICAL SCRIPT CAPITAL N..MATHEMATICAL SCRIPT CAPITAL Q
1D4AE..1D4B5  ; Upper # L&   [8] MATHEMATICAL SCRIPT CAPITAL S..MATHEMATICAL SCRIPT CAPITAL Z
1D4D0..1D4E9  ; Upper # L&  [26] MATHEMATICAL BOLD SCRIPT CAPITAL A..MATHEMATICAL BOLD SCRIPT CAPITAL Z
1D504..1D505  ; Upper # L&   [2] MATHEMATICAL FRAKTUR CAPITAL A..MATHEMATICAL FRAKTUR CAPITAL B
1D507..1D50A  ; Upper # L&   [4] MATHEMATICAL FRAKTUR CAPITAL D..MATHEMATICAL FRAKTUR CAPITAL G
1D50D..1D514  ; Upper # L&   [8] MATHEMATICAL FRAKTUR CAPITAL J..MATHEMATICAL FRAKTUR CAPITAL Q
1D516..1D51C  ; Upper # L&   [7] MATHEMATICAL FRAKTUR CAPITAL S..MATHEMATICAL FRAKTUR CAPITAL Y
1D538..1D539  ; Upper # L&   [2] MATHEMATICAL DOUBLE-STRUCK CAPITAL A..MATHEMATICAL DOUBLE-STRUCK CAPITAL B
1D53B..1D53E  ; Upper # L&   [4] MATHEMATICAL DOUBLE-STRUCK CAPITAL D..MATHEMATICAL DOUBLE-STRUCK CAPITAL G
1D540..1D544  ; Upper # L&   [5] MATHEMATICAL DOUBLE-STRUCK CAPITAL I..MATHEMATICAL DOUBLE-STRUCK CAPITAL M
1D546         ; Upper # L&       MATHEMATICAL DOUBLE-STRUCK CAPITAL O
1D54A..1D550  ; Upper # L&   [7] MATHEMATICAL DOUBLE-STRUCK CAPITAL S..MATHEMATICAL DOUBLE-STRUCK CAPITAL Y
1D56C..1D585  ; Upper # L&  [26] MATHEMATICAL BOLD FRAKTUR CAPITAL A..MATHEMATICAL BOLD FRAKTUR CAPITAL Z
1D5A0..1D5B9  ; Upper # L&  [26] MATHEMATICAL SANS-SERIF CAPITAL A..MATHEMATICAL SANS-SERIF CAPITAL Z
1D5D4..1D5ED  ; Upper # L&  [26] MATHEMATICAL SANS-SERIF BOLD CAPITAL A..MATHEMATICAL SANS-SERIF BOLD CAPITAL Z
1D608..1D621  ; Upper # L&  [26] MATHEMATICAL SANS-SERIF ITALIC CAPITAL A..MATHEMATICAL SANS-SERIF ITALIC CAPITAL Z
1D63C..1D655  ; Upper # L&  [26] MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL A..MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL Z
1D670..1D689  ; Upper # L&  [26] MATHEMATICAL MONOSPACE CAPITAL A..MATHEMATICAL MONOSPACE CAPITAL Z
1D6A8..1D6C0  ; Upper # L&  [25] MATHEMATICAL BOLD CAPITAL ALPHA..MATHEMATICAL BOLD CAPITAL OMEGA
1D6E2..1D6FA  ; Upper # L&  [25] MATHEMATICAL ITALIC CAPITAL ALPHA..MATHEMATICAL ITALIC CAPITAL OMEGA
1D71C..1D734  ; Upper # L&  [25] MATHEMATICAL BOLD ITALIC CAPITAL ALPHA..MATHEMATICAL BOLD ITALIC CAPITAL OMEGA
1D756..1D76E  ; Upper # L&  [25] MATHEMATICAL SANS-SERIF BOLD CAPITAL ALPHA..MATHEMATICAL SANS-SERIF BOLD CAPITAL OMEGA
1D790..1D7A8  ; Upper # L&  [25] MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL ALPHA..MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL OMEGA
1D7CA         ; Upper # L&       MATHEMATICAL BOLD CAPITAL DIGAMMA

# Total code points: 1393

# ================================================

00A0          ; OLetter # Zs       NO-BREAK SPACE
01BB          ; OLetter # Lo       LATIN LETTER TWO WITH STROKE
01C0..01C3    ; OLetter # Lo   [4] LATIN LETTER DENTAL CLICK..LATIN LETTER RETROFLEX CLICK
0294          ; OLetter # Lo       LATIN LETTER GLOTTAL STOP
02B9..02BF    ; OLetter # Lm   [7] MODIFIER LETTER PRIME..MODIFIER LETTER LEFT HALF RING
02C6..02D1    ; OLetter # Lm  [12] MODIFIER LETTER CIRCUMFLEX ACCENT..MODIFIER LETTER HALF TRIANGULAR COLON
02EE          ; OLetter # Lm       MODIFIER LETTER DOUBLE APOSTROPHE
0559          ; OLetter # Lm       ARMENIAN MODIFIER LETTER LEFT HALF RING
05D0..05EA    ; OLetter # Lo  [27] HEBREW LETTER ALEF..HEBREW LETTER TAV
05F0..05F2    ; OLetter # Lo   [3] HEBREW LIGATURE YIDDISH DOUBLE VAV..HEBREW LIGATURE YIDDISH DOUBLE YOD
05F3          ; OLetter # Po       HEBREW PUNCTUATION GERESH
0621..063A    ; OLetter # Lo  [26] ARABIC LETTER HAMZA..ARABIC LETTER GHAIN
0640          ; OLetter # Lm       ARABIC TATWEEL
0641..064A    ; OLetter # Lo  [10] ARABIC LETTER FEH..ARABIC LETTER YEH
066E..066F    ; OLetter # Lo   [2] ARABIC LETTER DOTLESS BEH..ARABIC LETTER DOTLESS QAF
0671..06D3    ; OLetter # Lo  [99] ARABIC LETTER ALEF WASLA..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE
06D5          ; OLetter # Lo       ARABIC LETTER AE
06E5..06E6    ; OLetter # Lm   [2] ARABIC SMALL WAW..ARABIC SMALL YEH
06EE..06EF    ; OLetter # Lo   [2] ARABIC LETTER DAL WITH INVERTED V..ARABIC LETTER REH WITH INVERTED V
06FA..06FC    ; OLetter # Lo   [3] ARABIC LETTER SHEEN WITH DOT BELOW..ARABIC LETTER GHAIN WITH DOT BELOW
06FF          ; OLetter # Lo       ARABIC LETTER HEH WITH INVERTED V
0710          ; OLetter # Lo       SYRIAC LETTER ALAPH
0712..072F    ; OLetter # Lo  [30] SYRIAC LETTER BETH..SYRIAC LETTER PERSIAN DHALATH
074D..076D    ; OLetter # Lo  [33] SYRIAC LETTER SOGDIAN ZHAIN..ARABIC LETTER SEEN WITH TWO DOTS VERTICALLY ABOVE
0780..07A5    ; OLetter # Lo  [38] THAANA LETTER HAA..THAANA LETTER WAAVU
07B1          ; OLetter # Lo       THAANA LETTER NAA
07CA..07EA    ; OLetter # Lo  [33] NKO LETTER A..NKO LETTER JONA RA
07F4..07F5    ; OLetter # Lm   [2] NKO HIGH TONE APOSTROPHE..NKO LOW TONE APOSTROPHE
07FA          ; OLetter # Lm       NKO LAJANYALAN
0903          ; OLetter # Mc       DEVANAGARI SIGN VISARGA
0904..0939    ; OLetter # Lo  [54] DEVANAGARI LETTER SHORT A..DEVANAGARI LETTER HA
093D          ; OLetter # Lo       DEVANAGARI SIGN AVAGRAHA
093E..0940    ; OLetter # Mc   [3] DEVANAGARI VOWEL SIGN AA..DEVANAGARI VOWEL SIGN II
0949..094C    ; OLetter # Mc   [4] DEVANAGARI VOWEL SIGN CANDRA O..DEVANAGARI VOWEL SIGN AU
0950          ; OLetter # Lo       DEVANAGARI OM
0958..0961    ; OLetter # Lo  [10] DEVANAGARI LETTER QA..DEVANAGARI LETTER VOCALIC LL
097B..097F    ; OLetter # Lo   [5] DEVANAGARI LETTER GGA..DEVANAGARI LETTER BBA
0982..0983    ; OLetter # Mc   [2] BENGALI SIGN ANUSVARA..BENGALI SIGN VISARGA
0985..098C    ; OLetter # Lo   [8] BENGALI LETTER A..BENGALI LETTER VOCALIC L
098F..0990    ; OLetter # Lo   [2] BENGALI LETTER E..BENGALI LETTER AI
0993..09A8    ; OLetter # Lo  [22] BENGALI LETTER O..BENGALI LETTER NA
09AA..09B0    ; OLetter # Lo   [7] BENGALI LETTER PA..BENGALI LETTER RA
09B2          ; OLetter # Lo       BENGALI LETTER LA
09B6..09B9    ; OLetter # Lo   [4] BENGALI LETTER SHA..BENGALI LETTER HA
09BD          ; OLetter # Lo       BENGALI SIGN AVAGRAHA
09BF..09C0    ; OLetter # Mc   [2] BENGALI VOWEL SIGN I..BENGALI VOWEL SIGN II
09C7..09C8    ; OLetter # Mc   [2] BENGALI VOWEL SIGN E..BENGALI VOWEL SIGN AI
09CB..09CC    ; OLetter # Mc   [2] BENGALI VOWEL SIGN O..BENGALI VOWEL SIGN AU
09CE          ; OLetter # Lo       BENGALI LETTER KHANDA TA
09DC..09DD    ; OLetter # Lo   [2] BENGALI LETTER RRA..BENGALI LETTER RHA
09DF..09E1    ; OLetter # Lo   [3] BENGALI LETTER YYA..BENGALI LETTER VOCALIC LL
09F0..09F1    ; OLetter # Lo   [2] BENGALI LETTER RA WITH MIDDLE DIAGONAL..BENGALI LETTER RA WITH LOWER DIAGONAL
0A03          ; OLetter # Mc       GURMUKHI SIGN VISARGA
0A05..0A0A    ; OLetter # Lo   [6] GURMUKHI LETTER A..GURMUKHI LETTER UU
0A0F..0A10    ; OLetter # Lo   [2] GURMUKHI LETTER EE..GURMUKHI LETTER AI
0A13..0A28    ; OLetter # Lo  [22] GURMUKHI LETTER OO..GURMUKHI LETTER NA
0A2A..0A30    ; OLetter # Lo   [7] GURMUKHI LETTER PA..GURMUKHI LETTER RA
0A32..0A33    ; OLetter # Lo   [2] GURMUKHI LETTER LA..GURMUKHI LETTER LLA
0A35..0A36    ; OLetter # Lo   [2] GURMUKHI LETTER VA..GURMUKHI LETTER SHA
0A38..0A39    ; OLetter # Lo   [2] GURMUKHI LETTER SA..GURMUKHI LETTER HA
0A3E..0A40    ; OLetter # Mc   [3] GURMUKHI VOWEL SIGN AA..GURMUKHI VOWEL SIGN II
0A59..0A5C    ; OLetter # Lo   [4] GURMUKHI LETTER KHHA..GURMUKHI LETTER RRA
0A5E          ; OLetter # Lo       GURMUKHI LETTER FA
0A72..0A74    ; OLetter # Lo   [3] GURMUKHI IRI..GURMUKHI EK ONKAR
0A83          ; OLetter # Mc       GUJARATI SIGN VISARGA
0A85..0A8D    ; OLetter # Lo   [9] GUJARATI LETTER A..GUJARATI VOWEL CANDRA E
0A8F..0A91    ; OLetter # Lo   [3] GUJARATI LETTER E..GUJARATI VOWEL CANDRA O
0A93..0AA8    ; OLetter # Lo  [22] GUJARATI LETTER O..GUJARATI LETTER NA
0AAA..0AB0    ; OLetter # Lo   [7] GUJARATI LETTER PA..GUJARATI LETTER RA
0AB2..0AB3    ; OLetter # Lo   [2] GUJARATI LETTER LA..GUJARATI LETTER LLA
0AB5..0AB9    ; OLetter # Lo   [5] GUJARATI LETTER VA..GUJARATI LETTER HA
0ABD          ; OLetter # Lo       GUJARATI SIGN AVAGRAHA
0ABE..0AC0    ; OLetter # Mc   [3] GUJARATI VOWEL SIGN AA..GUJARATI VOWEL SIGN II
0AC9          ; OLetter # Mc       GUJARATI VOWEL SIGN CANDRA O
0ACB..0ACC    ; OLetter # Mc   [2] GUJARATI VOWEL SIGN O..GUJARATI VOWEL SIGN AU
0AD0          ; OLetter # Lo       GUJARATI OM
0AE0..0AE1    ; OLetter # Lo   [2] GUJARATI LETTER VOCALIC RR..GUJARATI LETTER VOCALIC LL
0B02..0B03    ; OLetter # Mc   [2] ORIYA SIGN ANUSVARA..ORIYA SIGN VISARGA
0B05..0B0C    ; OLetter # Lo   [8] ORIYA LETTER A..ORIYA LETTER VOCALIC L
0B0F..0B10    ; OLetter # Lo   [2] ORIYA LETTER E..ORIYA LETTER AI
0B13..0B28    ; OLetter # Lo  [22] ORIYA LETTER O..ORIYA LETTER NA
0B2A..0B30    ; OLetter # Lo   [7] ORIYA LETTER PA..ORIYA LETTER RA
0B32..0B33    ; OLetter # Lo   [2] ORIYA LETTER LA..ORIYA LETTER LLA
0B35..0B39    ; OLetter # Lo   [5] ORIYA LETTER VA..ORIYA LETTER HA
0B3D          ; OLetter # Lo       ORIYA SIGN AVAGRAHA
0B40          ; OLetter # Mc       ORIYA VOWEL SIGN II
0B47..0B48    ; OLetter # Mc   [2] ORIYA VOWEL SIGN E..ORIYA VOWEL SIGN AI
0B4B..0B4C    ; OLetter # Mc   [2] ORIYA VOWEL SIGN O..ORIYA VOWEL SIGN AU
0B5C..0B5D    ; OLetter # Lo   [2] ORIYA LETTER RRA..ORIYA LETTER RHA
0B5F..0B61    ; OLetter # Lo   [3] ORIYA LETTER YYA..ORIYA LETTER VOCALIC LL
0B71          ; OLetter # Lo       ORIYA LETTER WA
0B83          ; OLetter # Lo       TAMIL SIGN VISARGA
0B85..0B8A    ; OLetter # Lo   [6] TAMIL LETTER A..TAMIL LETTER UU
0B8E..0B90    ; OLetter # Lo   [3] TAMIL LETTER E..TAMIL LETTER AI
0B92..0B95    ; OLetter # Lo   [4] TAMIL LETTER O..TAMIL LETTER KA
0B99..0B9A    ; OLetter # Lo   [2] TAMIL LETTER NGA..TAMIL LETTER CA
0B9C          ; OLetter # Lo       TAMIL LETTER JA
0B9E..0B9F    ; OLetter # Lo   [2] TAMIL LETTER NYA..TAMIL LETTER TTA
0BA3..0BA4    ; OLetter # Lo   [2] TAMIL LETTER NNA..TAMIL LETTER TA
0BA8..0BAA    ; OLetter # Lo   [3] TAMIL LETTER NA..TAMIL LETTER PA
0BAE..0BB9    ; OLetter # Lo  [12] TAMIL LETTER MA..TAMIL LETTER HA
0BBF          ; OLetter # Mc       TAMIL VOWEL SIGN I
0BC1..0BC2    ; OLetter # Mc   [2] TAMIL VOWEL SIGN U..TAMIL VOWEL SIGN UU
0BC6..0BC8    ; OLetter # Mc   [3] TAMIL VOWEL SIGN E..TAMIL VOWEL SIGN AI
0BCA..0BCC    ; OLetter # Mc   [3] TAMIL VOWEL SIGN O..TAMIL VOWEL SIGN AU
0C01..0C03    ; OLetter # Mc   [3] TELUGU SIGN CANDRABINDU..TELUGU SIGN VISARGA
0C05..0C0C    ; OLetter # Lo   [8] TELUGU LETTER A..TELUGU LETTER VOCALIC L
0C0E..0C10    ; OLetter # Lo   [3] TELUGU LETTER E..TELUGU LETTER AI
0C12..0C28    ; OLetter # Lo  [23] TELUGU LETTER O..TELUGU LETTER NA
0C2A..0C33    ; OLetter # Lo  [10] TELUGU LETTER PA..TELUGU LETTER LLA
0C35..0C39    ; OLetter # Lo   [5] TELUGU LETTER VA..TELUGU LETTER HA
0C41..0C44    ; OLetter # Mc   [4] TELUGU VOWEL SIGN U..TELUGU VOWEL SIGN VOCALIC RR
0C60..0C61    ; OLetter # Lo   [2] TELUGU LETTER VOCALIC RR..TELUGU LETTER VOCALIC LL
0C82..0C83    ; OLetter # Mc   [2] KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0C85..0C8C    ; OLetter # Lo   [8] KANNADA LETTER A..KANNADA LETTER VOCALIC L
0C8E..0C90    ; OLetter # Lo   [3] KANNADA LETTER E..KANNADA LETTER AI
0C92..0CA8    ; OLetter # Lo  [23] KANNADA LETTER O..KANNADA LETTER NA
0CAA..0CB3    ; OLetter # Lo  [10] KANNADA LETTER PA..KANNADA LETTER LLA
0CB5..0CB9    ; OLetter # Lo   [5] KANNADA LETTER VA..KANNADA LETTER HA
0CBD          ; OLetter # Lo       KANNADA SIGN AVAGRAHA
0CBE          ; OLetter # Mc       KANNADA VOWEL SIGN AA
0CC0..0CC1    ; OLetter # Mc   [2] KANNADA VOWEL SIGN II..KANNADA VOWEL SIGN U
0CC3..0CC4    ; OLetter # Mc   [2] KANNADA VOWEL SIGN VOCALIC R..KANNADA VOWEL SIGN VOCALIC RR
0CC7..0CC8    ; OLetter # Mc   [2] KANNADA VOWEL SIGN EE..KANNADA VOWEL SIGN AI
0CCA..0CCB    ; OLetter # Mc   [2] KANNADA VOWEL SIGN O..KANNADA VOWEL SIGN OO
0CDE          ; OLetter # Lo       KANNADA LETTER FA
0CE0..0CE1    ; OLetter # Lo   [2] KANNADA LETTER VOCALIC RR..KANNADA LETTER VOCALIC LL
0D02..0D03    ; OLetter # Mc   [2] MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D05..0D0C    ; OLetter # Lo   [8] MALAYALAM LETTER A..MALAYALAM LETTER VOCALIC L
0D0E..0D10    ; OLetter # Lo   [3] MALAYALAM LETTER E..MALAYALAM LETTER AI
0D12..0D28    ; OLetter # Lo  [23] MALAYALAM LETTER O..MALAYALAM LETTER NA
0D2A..0D39    ; OLetter # Lo  [16] MALAYALAM LETTER PA..MALAYALAM LETTER HA
0D3F..0D40    ; OLetter # Mc   [2] MALAYALAM VOWEL SIGN I..MALAYALAM VOWEL SIGN II
0D46..0D48    ; OLetter # Mc   [3] MALAYALAM VOWEL SIGN E..MALAYALAM VOWEL SIGN AI
0D4A..0D4C    ; OLetter # Mc   [3] MALAYALAM VOWEL SIGN O..MALAYALAM VOWEL SIGN AU
0D60..0D61    ; OLetter # Lo   [2] MALAYALAM LETTER VOCALIC RR..MALAYALAM LETTER VOCALIC LL
0D82..0D83    ; OLetter # Mc   [2] SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA
0D85..0D96    ; OLetter # Lo  [18] SINHALA LETTER AYANNA..SINHALA LETTER AUYANNA
0D9A..0DB1    ; OLetter # Lo  [24] SINHALA LETTER ALPAPRAANA KAYANNA..SINHALA LETTER DANTAJA NAYANNA
0DB3..0DBB    ; OLetter # Lo   [9] SINHALA LETTER SANYAKA DAYANNA..SINHALA LETTER RAYANNA
0DBD          ; OLetter # Lo       SINHALA LETTER DANTAJA LAYANNA
0DC0..0DC6    ; OLetter # Lo   [7] SINHALA LETTER VAYANNA..SINHALA LETTER FAYANNA
0DD0..0DD1    ; OLetter # Mc   [2] SINHALA VOWEL SIGN KETTI AEDA-PILLA..SINHALA VOWEL SIGN DIGA AEDA-PILLA
0DD8..0DDE    ; OLetter # Mc   [7] SINHALA VOWEL SIGN GAETTA-PILLA..SINHALA VOWEL SIGN KOMBUVA HAA GAYANUKITTA
0DF2..0DF3    ; OLetter # Mc   [2] SINHALA VOWEL SIGN DIGA GAETTA-PILLA..SINHALA VOWEL SIGN DIGA GAYANUKITTA
0E01..0E30    ; OLetter # Lo  [48] THAI CHARACTER KO KAI..THAI CHARACTER SARA A
0E32..0E33    ; OLetter # Lo   [2] THAI CHARACTER SARA AA..THAI CHARACTER SARA AM
0E40..0E45    ; OLetter # Lo   [6] THAI CHARACTER SARA E..THAI CHARACTER LAKKHANGYAO
0E46          ; OLetter # Lm       THAI CHARACTER MAIYAMOK
0E81..0E82    ; OLetter # Lo   [2] LAO LETTER KO..LAO LETTER KHO SUNG
0E84          ; OLetter # Lo       LAO LETTER KHO TAM
0E87..0E88    ; OLetter # Lo   [2] LAO LETTER NGO..LAO LETTER CO
0E8A          ; OLetter # Lo       LAO LETTER SO TAM
0E8D          ; OLetter # Lo       LAO LETTER NYO
0E94..0E97    ; OLetter # Lo   [4] LAO LETTER DO..LAO LETTER THO TAM
0E99..0E9F    ; OLetter # Lo   [7] LAO LETTER NO..LAO LETTER FO SUNG
0EA1..0EA3    ; OLetter # Lo   [3] LAO LETTER MO..LAO LETTER LO LING
0EA5          ; OLetter # Lo       LAO LETTER LO LOOT
0EA7          ; OLetter # Lo       LAO LETTER WO
0EAA..0EAB    ; OLetter # Lo   [2] LAO LETTER SO SUNG..LAO LETTER HO SUNG
0EAD..0EB0    ; OLetter # Lo   [4] LAO LETTER O..LAO VOWEL SIGN A
0EB2..0EB3    ; OLetter # Lo   [2] LAO VOWEL SIGN AA..LAO VOWEL SIGN AM
0EBD          ; OLetter # Lo       LAO SEMIVOWEL SIGN NYO
0EC0..0EC4    ; OLetter # Lo   [5] LAO VOWEL SIGN E..LAO VOWEL SIGN AI
0EC6          ; OLetter # Lm       LAO KO LA
0EDC..0EDD    ; OLetter # Lo   [2] LAO HO NO..LAO HO MO
0F00          ; OLetter # Lo       TIBETAN SYLLABLE OM
0F40..0F47    ; OLetter # Lo   [8] TIBETAN LETTER KA..TIBETAN LETTER JA
0F49..0F6A    ; OLetter # Lo  [34] TIBETAN LETTER NYA..TIBETAN LETTER FIXED-FORM RA
0F7F          ; OLetter # Mc       TIBETAN SIGN RNAM BCAD
0F88..0F8B    ; OLetter # Lo   [4] TIBETAN SIGN LCE TSA CAN..TIBETAN SIGN GRU MED RGYINGS
1000..1021    ; OLetter # Lo  [34] MYANMAR LETTER KA..MYANMAR LETTER A
1023..1027    ; OLetter # Lo   [5] MYANMAR LETTER I..MYANMAR LETTER E
1029..102A    ; OLetter # Lo   [2] MYANMAR LETTER O..MYANMAR LETTER AU
102C          ; OLetter # Mc       MYANMAR VOWEL SIGN AA
1031          ; OLetter # Mc       MYANMAR VOWEL SIGN E
1038          ; OLetter # Mc       MYANMAR SIGN VISARGA
1050..1055    ; OLetter # Lo   [6] MYANMAR LETTER SHA..MYANMAR LETTER VOCALIC LL
1056..1057    ; OLetter # Mc   [2] MYANMAR VOWEL SIGN VOCALIC R..MYANMAR VOWEL SIGN VOCALIC RR
10D0..10FA    ; OLetter # Lo  [43] GEORGIAN LETTER AN..GEORGIAN LETTER AIN
10FC          ; OLetter # Lm       MODIFIER LETTER GEORGIAN NAR
1100..1159    ; OLetter # Lo  [90] HANGUL CHOSEONG KIYEOK..HANGUL CHOSEONG YEORINHIEUH
115F..11A2    ; OLetter # Lo  [68] HANGUL CHOSEONG FILLER..HANGUL JUNGSEONG SSANGARAEA
11A8..11F9    ; OLetter # Lo  [82] HANGUL JONGSEONG KIYEOK..HANGUL JONGSEONG YEORINHIEUH
1200..1248    ; OLetter # Lo  [73] ETHIOPIC SYLLABLE HA..ETHIOPIC SYLLABLE QWA
124A..124D    ; OLetter # Lo   [4] ETHIOPIC SYLLABLE QWI..ETHIOPIC SYLLABLE QWE
1250..1256    ; OLetter # Lo   [7] ETHIOPIC SYLLABLE QHA..ETHIOPIC SYLLABLE QHO
1258          ; OLetter # Lo       ETHIOPIC SYLLABLE QHWA
125A..125D    ; OLetter # Lo   [4] ETHIOPIC SYLLABLE QHWI..ETHIOPIC SYLLABLE QHWE
1260..1288    ; OLetter # Lo  [41] ETHIOPIC SYLLABLE BA..ETHIOPIC SYLLABLE XWA
